ID_evenement,Systeme,Categorie,Date,ct,TAN.app,app.rate,app.mthd,man.dm,man.ph,man.source,air.temp,wind.2m,rain.rate,rain.cum,incorp,t.incorp
96,CTR,Digestat liquide,2025-04-02,1,54.472,30,bsth,7.4,8.1,cattle,14.3,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,2,54.472,30,bsth,7.4,8.1,cattle,15.4,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,3,54.472,30,bsth,7.4,8.1,cattle,16.2,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,4,54.472,30,bsth,7.4,8.1,cattle,16.3,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,5,54.472,30,bsth,7.4,8.1,cattle,16.4,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,6,54.472,30,bsth,7.4,8.1,cattle,16.1,9,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,7,54.472,30,bsth,7.4,8.1,cattle,14.7,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,8,54.472,30,bsth,7.4,8.1,cattle,11.6,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,9,54.472,30,bsth,7.4,8.1,cattle,12.2,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,10,54.472,30,bsth,7.4,8.1,cattle,11.3,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,11,54.472,30,bsth,7.4,8.1,cattle,10.8,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,12,54.472,30,bsth,7.4,8.1,cattle,9.2,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,13,54.472,30,bsth,7.4,8.1,cattle,9.0,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,14,54.472,30,bsth,7.4,8.1,cattle,8.3,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,15,54.472,30,bsth,7.4,8.1,cattle,7.6,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,16,54.472,30,bsth,7.4,8.1,cattle,8.8,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,17,54.472,30,bsth,7.4,8.1,cattle,7.6,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,18,54.472,30,bsth,7.4,8.1,cattle,7.5,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,19,54.472,30,bsth,7.4,8.1,cattle,7.8,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,20,54.472,30,bsth,7.4,8.1,cattle,10.7,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,21,54.472,30,bsth,7.4,8.1,cattle,14.2,5,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,22,54.472,30,bsth,7.4,8.1,cattle,15.6,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,23,54.472,30,bsth,7.4,8.1,cattle,16.9,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,24,54.472,30,bsth,7.4,8.1,cattle,17.9,9,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,25,54.472,30,bsth,7.4,8.1,cattle,18.9,11,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,26,54.472,30,bsth,7.4,8.1,cattle,19.4,10,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,27,54.472,30,bsth,7.4,8.1,cattle,19.8,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,28,54.472,30,bsth,7.4,8.1,cattle,20.9,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,29,54.472,30,bsth,7.4,8.1,cattle,20.7,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,30,54.472,30,bsth,7.4,8.1,cattle,19.8,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,31,54.472,30,bsth,7.4,8.1,cattle,18.1,5,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,32,54.472,30,bsth,7.4,8.1,cattle,16.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,33,54.472,30,bsth,7.4,8.1,cattle,14.6,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,34,54.472,30,bsth,7.4,8.1,cattle,14.5,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,35,54.472,30,bsth,7.4,8.1,cattle,13.2,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,36,54.472,30,bsth,7.4,8.1,cattle,12.3,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,37,54.472,30,bsth,7.4,8.1,cattle,11.5,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,38,54.472,30,bsth,7.4,8.1,cattle,11.4,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,39,54.472,30,bsth,7.4,8.1,cattle,10.8,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,40,54.472,30,bsth,7.4,8.1,cattle,10.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,41,54.472,30,bsth,7.4,8.1,cattle,11.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,42,54.472,30,bsth,7.4,8.1,cattle,11.0,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,43,54.472,30,bsth,7.4,8.1,cattle,11.7,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,44,54.472,30,bsth,7.4,8.1,cattle,11.9,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,45,54.472,30,bsth,7.4,8.1,cattle,14.9,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,46,54.472,30,bsth,7.4,8.1,cattle,17.2,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,47,54.472,30,bsth,7.4,8.1,cattle,19.1,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,48,54.472,30,bsth,7.4,8.1,cattle,20.6,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,49,54.472,30,bsth,7.4,8.1,cattle,22.0,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,50,54.472,30,bsth,7.4,8.1,cattle,22.6,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,51,54.472,30,bsth,7.4,8.1,cattle,21.9,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,52,54.472,30,bsth,7.4,8.1,cattle,22.2,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,53,54.472,30,bsth,7.4,8.1,cattle,21.1,8,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,54,54.472,30,bsth,7.4,8.1,cattle,20.4,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,55,54.472,30,bsth,7.4,8.1,cattle,17.2,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,56,54.472,30,bsth,7.4,8.1,cattle,15.2,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,57,54.472,30,bsth,7.4,8.1,cattle,14.9,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,58,54.472,30,bsth,7.4,8.1,cattle,15.7,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,59,54.472,30,bsth,7.4,8.1,cattle,12.5,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,60,54.472,30,bsth,7.4,8.1,cattle,12.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,61,54.472,30,bsth,7.4,8.1,cattle,11.9,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,62,54.472,30,bsth,7.4,8.1,cattle,11.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,63,54.472,30,bsth,7.4,8.1,cattle,10.2,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,64,54.472,30,bsth,7.4,8.1,cattle,9.9,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,65,54.472,30,bsth,7.4,8.1,cattle,9.3,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,66,54.472,30,bsth,7.4,8.1,cattle,9.0,3,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,67,54.472,30,bsth,7.4,8.1,cattle,9.8,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,68,54.472,30,bsth,7.4,8.1,cattle,13.1,2,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,69,54.472,30,bsth,7.4,8.1,cattle,14.5,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,70,54.472,30,bsth,7.4,8.1,cattle,16.6,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,71,54.472,30,bsth,7.4,8.1,cattle,18.8,5,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,72,54.472,30,bsth,7.4,8.1,cattle,20.5,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,73,54.472,30,bsth,7.4,8.1,cattle,22.3,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,74,54.472,30,bsth,7.4,8.1,cattle,23.1,6,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,75,54.472,30,bsth,7.4,8.1,cattle,23.3,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,76,54.472,30,bsth,7.4,8.1,cattle,23.5,7,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,77,54.472,30,bsth,7.4,8.1,cattle,22.8,5,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,78,54.472,30,bsth,7.4,8.1,cattle,21.2,4,0.0,0.0,none,
96,CTR,Digestat liquide,2025-04-02,79,54.472,30,bsth,7.4,8.1,cattle,17.8,4,0.0,0.0,none,
