ID_evenement,Systeme,Parcelle,Annee,Date,Product,Categorie,N_total_kgNha,TAN_kgNha,Methode_application,Incorporation,Delai_incorp_h,frac_N_NH4,frac_N_ureique,frac_N_NO3,MS_pct,pH_produit,pH_sol,CaCO3_gkg,CIC_cmolkg,Clay,Lime,Sand,Corg_gkg,Humidite_sol,Densite_gcm3,Temp_air_C,Vent_ms,Precip_mm,Intensite_pluie_promedio_mmh,HR_pct,Rayonnement,NH3_emis_kgNha,NH3_emis_pctTAN,Inhibiteur_co_applique,Type_inhibiteur,Statut_qualite,NH3_emis_kgNha_EMEP,N_applied_kgNha,calc_note,NH3_emis_kgNha_base
15,SCA,B1,2023,2023-02-13,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,5.6,1.1,0.5,,84,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
16,SCA,B1,2023,2023-02-13,Thiosulfate 13N - 64S,Thiosulfate,6.5,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,5.6,1.1,0.5,,84,,1.001,,Non,,,1.001,6.5,mineral,1.001
17,SCA,B1,2023,2023-03-08,Solution 39,Solution azotée (UAN),51.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,10.0,5.5,16.5,,90,,6.762,,Oui,à déterminer (uréase/nitrification),,6.7626,51.0,mineral,6.7626
18,SCA,B1,2023,2023-03-08,Autre (inhibiteur),Additif,0.0,0.0,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,10.0,5.5,16.5,,90,,0.0,,Non,,"Inhibiteur (sans N) — non-émetteur, exclure du calcul EMEP",0.0,0.0,non-N (excluded),0.0
19,SCA,B1,2023,2023-04-11,Solution 39,Solution azotée (UAN),49.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,9.3,3.7,10.0,,83,,6.497,,Oui,à déterminer (uréase/nitrification),,6.4974,49.0,mineral,6.4974
20,SCA,B1,2023,2023-04-11,Autre (inhibiteur),Additif,0.0,0.0,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,9.3,3.7,10.0,,83,,0.0,,Non,,"Inhibiteur (sans N) — non-émetteur, exclure du calcul EMEP",0.0,0.0,non-N (excluded),0.0
21,SCA,B1,2023,2023-04-22,Solution 39,Solution azotée (UAN),29.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,10.5,2.2,4.0,,78,,3.845,,Non,,,3.8453999999999997,29.0,mineral,3.8453999999999997
22,SCA,B1,2024,2024-03-25,Solution 39,Solution azotée (UAN),125.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,7.6,2.7,0.5,,71,,16.574,,Non,,,16.575,125.0,mineral,16.575
23,SCA,B1,2025,2025-05-07,Solution 39,Solution azotée (UAN),117.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,10.8,3.1,0.0,,69,,15.513,,Non,,,15.514199999999999,117.0,mineral,15.514199999999999
24,SCA,B1,2025,2025-05-08,Solution 39,Solution azotée (UAN),58.5,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,12.4,2.7,0.0,,66,,7.756,,Non,,,7.757099999999999,58.5,mineral,7.757099999999999
34,GHG,B2,2023,2023-03-06,Entec 26,Entec,110.0,78.1,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.18,4.6,2.7,0.0,,75,,16.94,,Non,,,9.889,110.0,mineral,16.94
35,GHG,B2,2023,2023-04-16,BlueN,Oligo/biostimulant,,,,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.18,8.6,2.3,0.0,,73,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
