ID_evenement,Systeme,Categorie,Date,app_mthd,TAN_kgNha,ALFAM2_kgNha,EMEP_kgNha,diff_kgNha,ratio_A_over_E,EMEP_pctTAN,ALFAM2_pctTAN
130,MF,Lisier,2018-09-30,bc,42.347,11.2857541851788,23.290740000000003,-12.004985814821204,0.48455970850126695,54.999740241339424,26.650658098988824
133,MF,Lisier,2019-08-20,bc,0.589,0.381154574723423,0.3238950000000001,0.05725957472342291,1.1767843737119217,54.99066213921904,64.71215190550475
136,MF,Lisier,2021-02-13,bsth,0.729,0.168536951145963,0.4009775000000001,-0.2324405488540371,0.4203152325154478,55.003772290809344,23.118923339638275
140,MF,Lisier,2022-02-01,bsth,31.059,8.19035253372963,17.08245,-8.892097466270371,0.4794600618605428,55.0,26.370303402329856
141,MF,Lisier,2022-04-21,bsth,41.067,13.5415578418979,22.58679500000001,-9.04523715810211,0.5995342784090392,54.99986607251567,32.974305018379475
143,MF,Lisier,2022-09-15,bsth,36.236,5.89183770230552,19.929525,-14.037687297694482,0.295633624098192,54.99924108621261,16.259624964967216
148,MF,Lisier,2024-04-19,bsth,49.368,6.67955377331996,27.1524,-20.47284622668004,0.24600233398594454,54.99999999999999,13.530128369226949
96,CTR,Digestat liquide,2025-04-02,bsth,54.472,23.2968359147773,29.959875000000004,-6.663039085222703,0.7776012388161598,55.00050484652666,42.76846070417334
150,MF,Digestat liquide,2025-04-02,bsth,54.472,23.2968359147773,29.959875000000004,-6.663039085222703,0.7776012388161598,55.00050484652666,42.76846070417334
97,CTR,Digestat liquide,2025-07-04,bc,62.693,52.247928097788,34.48120500000001,17.766723097787988,1.5152581847933673,55.00008772909258,83.33933309586078
151,MF,Digestat liquide,2025-07-04,bc,62.693,52.247928097788,34.48120500000001,17.766723097787988,1.5152581847933673,55.00008772909258,83.33933309586078
