ID_evenement,Systeme,Parcelle,Annee,Date,Product,Categorie,N_total_kgNha,TAN_kgNha,Methode_application,Incorporation,Delai_incorp_h,frac_N_NH4,frac_N_ureique,frac_N_NO3,MS_pct,pH_produit,pH_sol,CaCO3_gkg,CIC_cmolkg,Clay,Lime,Sand,Corg_gkg,Humidite_sol,Densite_gcm3,Temp_air_C,Vent_ms,Precip_mm,Intensite_pluie_promedio_mmh,HR_pct,Rayonnement,NH3_emis_kgNha,NH3_emis_pctTAN,Inhibiteur_co_applique,Type_inhibiteur,Statut_qualite,NH3_emis_kgNha_EMEP,N_applied_kgNha,calc_note,NH3_emis_kgNha_base
1,SCA,B1,2018,2018-03-06,Solution 39,Solution azotée (UAN),78.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,7.2,2.9,3.5,,89,,10.342,,Non,,,10.3428,78.0,mineral,10.3428
2,SCA,B1,2018,2018-03-27,"Solution 38N.14,5S",Solution azotée (UAN),76.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,8.5,4.0,4.0,,88,,10.077,,Non,,,10.0776,76.0,mineral,10.0776
3,SCA,B1,2018,2018-04-29,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,9.8,2.6,8.0,,96,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
4,SCA,B1,2018,2018-05-12,Solution 39,Solution azotée (UAN),31.2,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,12.9,1.9,5.0,,85,,4.137,,Non,,,4.1371199999999995,31.2,mineral,4.1371199999999995
5,SCA,B1,2019,2019-02-16,Solution 38N.14S,Solution azotée (UAN),38.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,8.6,1.4,0.0,,71,,5.038,,Non,,,5.0388,38.0,mineral,5.0388
6,SCA,B1,2019,2019-03-14,Solution 39,Solution azotée (UAN),72.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,8.7,6.6,7.0,,91,,9.546,,Non,,,9.5472,72.0,mineral,9.5472
7,SCA,B1,2020,2020-02-06,Solution 34N.8S,Solution azotée (UAN),41.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,4.1,1.9,0.0,,80,,5.436,,Non,,,5.436599999999999,41.0,mineral,5.436599999999999
8,SCA,B1,2020,2020-02-18,Solution 30N.18S,Solution azotée (UAN),99.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,7.0,4.9,5.5,,77,,13.126,,Non,,,13.1274,99.0,mineral,13.1274
9,SCA,B1,2020,2020-03-08,Bore,Oligo/biostimulant,,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,8.0,4.7,3.0,,88,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
10,SCA,B1,2020,2020-03-09,Solution 34N.8S,Solution azotée (UAN),51.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.31,7.4,4.2,3.0,,79,,6.762,,Non,,,6.7626,51.0,mineral,6.7626
11,SCA,B1,2021,2021-02-17,Solution 34N.8S,Solution azotée (UAN),51.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,9.4,4.0,0.0,,84,,6.762,,Non,,,6.7626,51.0,mineral,6.7626
12,SCA,B1,2021,2021-03-10,Solution 36N.4S,Solution azotée (UAN),94.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,5.9,4.6,1.0,,78,,12.463,,Non,,,12.4644,94.0,mineral,12.4644
13,SCA,B1,2021,2021-05-06,Solution 39,Solution azotée (UAN),58.0,,Application liquide minérale,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,7.5,1.8,6.5,,89,,7.69,,Non,,,7.690799999999999,58.0,mineral,7.690799999999999
14,SCA,B1,2022,2022-05-19,Urée,Urée,149.0,,Épandage solide minéral,Non,,,,,,,7.5,2.0,12.3,20.3,71.6,8.1,16.7,19.8,1.35,20.1,2.3,0.5,,71,,25.277,,Non,,,25.2704,149.0,mineral,25.2704
25,GHG,B2,2018,2018-03-26,Entec 26,Entec,225.0,159.75,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,8.7,1.4,2.0,,71,,34.65,,Non,,,20.2275,225.0,mineral,34.65
26,GHG,B2,2018,2018-03-29,Entec 26,Entec,225.0,159.75,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,6.3,3.5,3.5,,85,,34.65,,Non,,,20.2275,225.0,mineral,34.65
27,GHG,B2,2019,2019-02-25,Entec 26,Entec,98.0,69.58,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,9.1,1.7,0.0,,54,,15.092,,Non,,,8.8102,98.0,mineral,15.092
28,GHG,B2,2020,2020-02-18,Entec 26,Entec,114.0,80.94,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,7.0,4.9,5.5,,77,,17.556,,Non,,,10.2486,114.0,mineral,17.556
29,GHG,B2,2020,2020-03-08,Bore,Oligo/biostimulant,,,Application liquide minérale,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,8.0,4.7,3.0,,88,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
30,GHG,B2,2020,2020-03-13,Entec 26,Entec,78.0,55.38,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.31,7.3,3.0,0.0,,69,,12.012,,Non,,,7.012199999999999,78.0,mineral,12.012
31,GHG,B2,2021,2021-03-01,Entec 26,Entec,117.0,83.07,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.18,6.5,2.0,0.0,,69,,18.018,,Non,,,10.5183,117.0,mineral,18.018
32,GHG,B2,2021,2021-05-06,Solution 39,Solution azotée (UAN),58.5,,Application liquide minérale,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.18,7.5,1.8,6.5,,89,,7.756,,Non,,,7.757099999999999,58.5,mineral,7.757099999999999
33,GHG,B2,2022,2022-04-22,Entec 26,Entec,120.0,85.19999999999999,Épandage solide minéral,Non,,,,,,,7.6,1.0,13.1,20.3,71.6,8.1,16.6,21.5,1.18,12.5,2.7,0.0,,64,,18.48,,Non,,,10.787999999999998,120.0,mineral,18.48
43,HYP,B3,2018,2018-03-14,Solution 36N.6S,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,8.8,3.8,7.5,,73,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
44,HYP,B3,2018,2018-03-27,"Solution 38N.14,5S",Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,8.5,4.0,4.0,,88,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
45,HYP,B3,2018,2018-04-12,Solution 39,Solution azotée (UAN),58.5,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,10.6,1.6,11.5,,90,,7.756,,Non,,,7.757099999999999,58.5,mineral,7.757099999999999
46,HYP,B3,2018,2018-04-29,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,9.8,2.6,8.0,,96,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
47,HYP,B3,2018,2018-05-12,Solution 39,Solution azotée (UAN),31.2,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,12.9,1.9,5.0,,85,,4.137,,Non,,,4.1371199999999995,31.2,mineral,4.1371199999999995
48,HYP,B3,2019,2019-02-16,Solution 38N.14S,Solution azotée (UAN),38.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,8.6,1.4,0.0,,71,,5.038,,Non,,,5.0388,38.0,mineral,5.0388
49,HYP,B3,2019,2019-03-17,Solution 39,Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,6.2,5.0,3.5,,84,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
50,HYP,B3,2019,2019-04-26,Solution 39,Solution azotée (UAN),56.55,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,11.4,3.2,1.0,,75,,7.498,,Non,,,7.49853,56.55,mineral,7.49853
51,HYP,B3,2020,2020-02-06,Solution 34N.8S,Solution azotée (UAN),51.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,4.1,1.9,0.0,,80,,6.762,,Non,,,6.7626,51.0,mineral,6.7626
52,HYP,B3,2020,2020-02-18,Solution 30N.18S,Solution azotée (UAN),99.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,7.0,4.9,5.5,,77,,13.126,,Non,,,13.1274,99.0,mineral,13.1274
53,HYP,B3,2020,2020-03-08,Bore,Oligo/biostimulant,,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,8.0,4.7,3.0,,88,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
54,HYP,B3,2020,2020-03-09,Solution 34N.8S,Solution azotée (UAN),58.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.37,7.4,4.2,3.0,,79,,7.69,,Non,,,7.690799999999999,58.0,mineral,7.690799999999999
55,HYP,B3,2021,2021-02-17,Solution 34N.8S,Solution azotée (UAN),34.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,9.4,4.0,0.0,,84,,4.508,,Non,,,4.5084,34.0,mineral,4.5084
56,HYP,B3,2021,2021-03-10,Solution 36N.4S,Solution azotée (UAN),94.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,5.9,4.6,1.0,,78,,12.463,,Non,,,12.4644,94.0,mineral,12.4644
57,HYP,B3,2021,2021-05-06,Solution 39,Solution azotée (UAN),58.5,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,7.5,1.8,6.5,,89,,7.756,,Non,,,7.757099999999999,58.5,mineral,7.757099999999999
58,HYP,B3,2022,2022-04-21,Solution 39,Solution azotée (UAN),62.0,,Application liquide minérale,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,12.7,2.3,0.0,,57,,8.22,,Non,,,8.2212,62.0,mineral,8.2212
59,HYP,B3,2022,2022-05-19,Urée,Urée,40.0,,Épandage solide minéral,Non,,,,,,,7.8,3.0,13.9,20.3,71.6,8.1,15.7,22.8,1.25,20.1,2.3,0.5,,71,,6.786,,Non,,,6.784,40.0,mineral,6.784
75,CTR,B4,2018,2018-03-14,Solution 36N.6S,Solution azotée (UAN),32.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,8.8,3.8,7.5,,73,,4.243,,Non,,,4.2432,32.0,mineral,4.2432
76,CTR,B4,2018,2018-03-27,"Solution 38N.14,5S",Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,8.5,4.0,4.0,,88,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
77,CTR,B4,2018,2018-04-13,Solution 39,Solution azotée (UAN),43.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,11.9,1.3,0.0,,87,,5.701,,Non,,,5.7017999999999995,43.0,mineral,5.7017999999999995
78,CTR,B4,2018,2018-05-12,Solution 39,Solution azotée (UAN),37.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,12.9,1.9,5.0,,85,,4.906,,Non,,,4.9062,37.0,mineral,4.9062
79,CTR,B4,2019,2019-03-17,Solution 39,Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,6.2,5.0,3.5,,84,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
80,CTR,B4,2019,2019-04-27,Solution 39,Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,8.7,5.5,3.5,,78,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
81,CTR,B4,2020,2020-02-18,Solution 30N.18S,Solution azotée (UAN),99.0,,Application liquide minérale,Non,,,,,,,7.7,2.0,13.6,20.3,71.6,8.1,16.2,20.7,1.32,7.0,4.9,5.5,,77,,13.126,,Non,,,13.1274,99.0,mineral,13.1274
